actor_actress,average_imdb_score
"Michael Palin",8.33
"Terry Gilliam",8.33
"Eric Idle",8.33
"Graham Chapman",8.33
"Terry Jones",8.3
"Charles Scorsese",8.2
"Catherine Scorsese",8.2
"Billie Perkins",8.2
"Nat Grant",8.2
"Garth Avery",8.2
"Copper Cunningham",8.2
"Don Stroud",8.2
"Debbi Morgan",8.2
"Mary-Pat Green",8.2
"Carson Grant",8.2
"Annie Gagen",8.2
"Ralph S. Singleton",8.2
"Nicholas Shields",8.2
"Peter Savage",8.2
"Steven Prince",8.2
"Harlan Cary Poe",8.2
"Harry Northup",8.2
"Norman Matlock",8.2
"Brenda Dickson",8.2
"Robinson Frank Adu",8.2
"Joe Spinell",8.2
"Victor Argo",8.2
"Bob Maroff",8.2
"Bill Minkin",8.2
"Richard Higgs",8.2
"Murray Moston",8.2
"Martin Scorsese",8.2
"Gino Ardito",8.2
"Diahnne Abbott",8.2
"Leonard Harris",8.2
"Peter Boyle",8.2
"Cybill Shepherd",8.2
"Harvey Keitel",8.2
"Albert Brooks",8.2
"Jodie Foster",8.2
"Robert De Niro",8.2
"Maggie Weston",8.2
"John Thornton",8.2
"Roy Forge Smith",8.2
"Brian Ross",8.2
"Tom Raeburn",8.2
"William Palin",8.2
"Scott Mike",8.2
"Zack Matalon",8.2
"Margarita Doyle",8.2
"Julian Doyle",8.2
"Sylvia Taylor",8.2
"Gloria Graham",8.2
"Mary Allen",8.2
"Joyce Pollner",8.2
"Tracy Sneddon",8.2
"Judy Lamb",8.2
"Fiona Gordon",8.2
"Daphne Darling",8.2
"Yvonne Dick",8.2
"Vivienne MacDonald",8.2
"Sally Coombe",8.2
"Anna Lanski",8.2
"Loraine Ward",8.2
"Alison Walker",8.2
"Joni Flynn",8.2
"Romilly Squire",8.2
"Sandy Rose",8.2
"Sandy Johnson",8.2
"Mitsuko Forstater",8.2
"Elspeth Cameron",8.2
"Mark Zycon",8.2
"Sally Kinghorn",8.2
"Avril Stewart",8.2
"Rita Davies",8.2
"Bee Duffell",8.2
"Connie Booth",8.2
"John Young",8.1
"Neil Innes",8.1
"Carol Cleveland",8.1
"John Cleese",8.1
"George Harrison",8
"Spike Milligan",8
"Bernard McKenna",8
"Andrew MacLachlan",8
"Chris Langham",8
"John Case",8
"Peter Brett",8
"Sue Jones-Davies",8
"Gwen Taylor",8
"Charles McKeown",8
"Kenneth Colley",8
"Terence Bayler",8
"Charley Boorman",7.7
"Belinda Beatty",7.7
"Hoyt Pollard",7.7
"Macon McCalman",7.7
"James Dickey",7.7
"Pete Ware",7.7
"Louise Coldren",7.7
"Kathy Rickman",7.7
"John Fowler",7.7
"Johnny Popwell",7.7
"Ken Keener",7.7
"Lewis Crone",7.7
"Herbert 'Cowboy' Coward",7.7
"Bill McKinney",7.7
"Randall Deal",7.7
"Seamon Glass",7.7
"Billy Redden",7.7
"Ed Ramey",7.7
"Ronny Cox",7.7
"Ned Beatty",7.7
"Burt Reynolds",7.7
"Jon Voight",7.7
"Michael Segal",7.7
"Vicki Woolf",7.7
"Burnell Tucker",7.7
"Rocky Taylor",7.7
"Theodore Wilhelm",7.7
"Hedger Wallace",7.7
"Warren Stanhope",7.7
"Richard Shaw",7.7
"Frederick Schiller",7.7
"Terry Richards",7.7
"Mike Reid",7.7
"Suzanne Owens-Duval",7.7
"Lionel Murton",7.7
"Dick Miller",7.7
"Richard Marner",7.7
"Ann Lancaster",7.7
"Hildegard Knef",7.7
"Juba Kennerley",7.7
